tof_t1 , 81.94, tof_t2 , 84.03
tof_t1 , 82.05, tof_t2 , 84.20
tof_t1 , 82.02, tof_t2 , 84.18
tof_t1 , 82.11, tof_t2 , 84.21
tof_t1 , 81.97, tof_t2 , 84.07
tof_t1 , 82.07, tof_t2 , 84.23
tof_t1 , 82.09, tof_t2 , 84.13
tof_t1 , 82.05, tof_t2 , 84.15
tof_t1 , 82.12, tof_t2 , 84.22
tof_t1 , 82.16, tof_t2 , 84.25
tof_t1 , 82.11, tof_t2 , 84.27
tof_t1 , 82.08, tof_t2 , 84.12
tof_t1 , 82.22, tof_t2 , 84.38
tof_t1 , 82.13, tof_t2 , 84.23
tof_t1 , 82.06, tof_t2 , 84.10
tof_t1 , 82.12, tof_t2 , 84.21
tof_t1 , 82.12, tof_t2 , 84.21
tof_t1 , 82.20, tof_t2 , 84.35
tof_t1 , 82.15, tof_t2 , 84.25
tof_t1 , 82.08, tof_t2 , 84.13
tof_t1 , 82.07, tof_t2 , 84.17
tof_t1 , 82.09, tof_t2 , 84.13
tof_t1 , 82.08, tof_t2 , 84.12
tof_t1 , 82.04, tof_t2 , 84.14
tof_t1 , 81.97, tof_t2 , 84.01
tof_t1 , 81.97, tof_t2 , 84.01
tof_t1 , 81.99, tof_t2 , 84.14
tof_t1 , 82.09, tof_t2 , 84.14
tof_t1 , 82.02, tof_t2 , 84.12
tof_t1 , 81.99, tof_t2 , 84.15
tof_t1 , 82.02, tof_t2 , 84.12
tof_t1 , 81.95, tof_t2 , 84.10
tof_t1 , 82.07, tof_t2 , 84.17
tof_t1 , 82.01, tof_t2 , 84.16
tof_t1 , 82.01, tof_t2 , 84.16
tof_t1 , 81.99, tof_t2 , 84.09
tof_t1 , 82.10, tof_t2 , 84.20
tof_t1 , 82.02, tof_t2 , 84.12
tof_t1 , 81.93, tof_t2 , 84.08
tof_t1 , 82.13, tof_t2 , 84.17
tof_t1 , 82.01, tof_t2 , 84.17
tof_t1 , 82.18, tof_t2 , 84.22
tof_t1 , 82.27, tof_t2 , 84.37
tof_t1 , 82.17, tof_t2 , 84.21
tof_t1 , 82.10, tof_t2 , 84.14
tof_t1 , 82.18, tof_t2 , 84.27
tof_t1 , 82.15, tof_t2 , 84.25
tof_t1 , 82.15, tof_t2 , 84.19
tof_t1 , 82.07, tof_t2 , 84.11
tof_t1 , 82.11, tof_t2 , 84.15
tof_t1 , 81.99, tof_t2 , 84.09
tof_t1 , 82.07, tof_t2 , 84.11
tof_t1 , 81.99, tof_t2 , 84.09
tof_t1 , 81.99, tof_t2 , 84.09
tof_t1 , 82.11, tof_t2 , 84.20
tof_t1 , 81.94, tof_t2 , 84.09
tof_t1 , 82.00, tof_t2 , 84.10
tof_t1 , 82.01, tof_t2 , 84.17
tof_t1 , 81.96, tof_t2 , 84.06
tof_t1 , 81.95, tof_t2 , 84.11
tof_t1 , 81.96, tof_t2 , 84.00
tof_t1 , 81.99, tof_t2 , 84.09
tof_t1 , 82.12, tof_t2 , 84.21
tof_t1 , 81.98, tof_t2 , 84.07
tof_t1 , 82.11, tof_t2 , 84.20
tof_t1 , 82.04, tof_t2 , 84.08
tof_t1 , 82.04, tof_t2 , 84.14
tof_t1 , 82.02, tof_t2 , 84.18
tof_t1 , 82.06, tof_t2 , 84.10
tof_t1 , 82.11, tof_t2 , 84.21
tof_t1 , 82.07, tof_t2 , 84.17
tof_t1 , 82.14, tof_t2 , 84.24
tof_t1 , 82.14, tof_t2 , 84.24
tof_t1 , 82.03, tof_t2 , 84.24
tof_t1 , 82.04, tof_t2 , 84.19
tof_t1 , 82.16, tof_t2 , 84.20
tof_t1 , 82.20, tof_t2 , 84.29
tof_t1 , 82.15, tof_t2 , 84.19
tof_t1 , 82.08, tof_t2 , 84.23
tof_t1 , 82.03, tof_t2 , 84.07
tof_t1 , 82.03, tof_t2 , 84.18
tof_t1 , 82.08, tof_t2 , 84.12
tof_t1 , 82.09, tof_t2 , 84.14
tof_t1 , 82.07, tof_t2 , 84.06
tof_t1 , 81.99, tof_t2 , 84.09
tof_t1 , 82.10, tof_t2 , 84.25
tof_t1 , 81.93, tof_t2 , 83.97
tof_t1 , 82.08, tof_t2 , 84.23
tof_t1 , 82.04, tof_t2 , 84.19
tof_t1 , 82.06, tof_t2 , 84.34
tof_t1 , 81.92, tof_t2 , 83.96
tof_t1 , 81.96, tof_t2 , 84.11
tof_t1 , 82.08, tof_t2 , 84.12
tof_t1 , 81.97, tof_t2 , 84.02
tof_t1 , 82.05, tof_t2 , 84.09
tof_t1 , 82.12, tof_t2 , 84.21
tof_t1 , 82.17, tof_t2 , 84.33
tof_t1 , 82.03, tof_t2 , 84.19
tof_t1 , 82.26, tof_t2 , 84.31
tof_t1 , 82.07, tof_t2 , 84.17
tof_t1 , 82.14, tof_t2 , 84.23
tof_t1 , 82.24, tof_t2 , 84.34
tof_t1 , 82.14, tof_t2 , 84.29
tof_t1 , 82.22, tof_t2 , 84.32
tof_t1 , 82.07, tof_t2 , 84.17
tof_t1 , 82.22, tof_t2 , 84.27
tof_t1 , 82.12, tof_t2 , 84.22
tof_t1 , 82.00, tof_t2 , 84.10
tof_t1 , 82.06, tof_t2 , 84.10
tof_t1 , 82.06, tof_t2 , 84.16
tof_t1 , 82.04, tof_t2 , 84.26
tof_t1 , 82.01, tof_t2 , 84.11
tof_t1 , 82.13, tof_t2 , 84.29
tof_t1 , 82.06, tof_t2 , 84.22
tof_t1 , 81.97, tof_t2 , 84.06
tof_t1 , 82.01, tof_t2 , 84.11
tof_t1 , 82.00, tof_t2 , 84.04
tof_t1 , 82.00, tof_t2 , 84.10
tof_t1 , 82.08, tof_t2 , 84.12
tof_t1 , 81.97, tof_t2 , 84.07
tof_t1 , 82.07, tof_t2 , 84.06
tof_t1 , 81.94, tof_t2 , 84.04
tof_t1 , 82.00, tof_t2 , 84.15
tof_t1 , 81.99, tof_t2 , 84.14
tof_t1 , 82.09, tof_t2 , 84.14
tof_t1 , 82.03, tof_t2 , 84.13
tof_t1 , 82.16, tof_t2 , 84.31
tof_t1 , 82.10, tof_t2 , 84.19
tof_t1 , 82.09, tof_t2 , 84.19
tof_t1 , 82.07, tof_t2 , 84.22
tof_t1 , 82.26, tof_t2 , 84.41
tof_t1 , 82.26, tof_t2 , 84.36
tof_t1 , 82.13, tof_t2 , 84.23
tof_t1 , 82.24, tof_t2 , 84.45
tof_t1 , 82.12, tof_t2 , 84.27
tof_t1 , 82.30, tof_t2 , 84.46
tof_t1 , 82.09, tof_t2 , 84.25
tof_t1 , 82.01, tof_t2 , 84.11
tof_t1 , 82.00, tof_t2 , 84.10
tof_t1 , 82.09, tof_t2 , 84.25
tof_t1 , 81.97, tof_t2 , 84.12
tof_t1 , 82.06, tof_t2 , 84.16
tof_t1 , 82.01, tof_t2 , 84.05
tof_t1 , 81.89, tof_t2 , 84.05
tof_t1 , 81.95, tof_t2 , 83.99
